Mops plicatus
Saccolaimus saccolaimus
Emballonura monticola
Taphozous longimanus
Taphozous melanopogon
Taphozous theobaldi
Tadarida teniotis
Nycteris tragata
Taphozous nudiventris
Miniopterus fuliginosus
Hypsugo affinis
Hypsugo cadornae
Arielulus circumdatus
Eptesicus pachyotis
Glischropus bucephalus
Hypsugo dolichodon
Miniopterus pusillus
Hesperoptenus tickelli
Hesperoptenus blanfordi
Hypsugo lophurus
Pipistrellus abramus
Pipistrellus ceylonicus
Nyctalus noctula
Pipistrellus javanicus
Pipistrellus coromandra
Ia io
Mirostrellus joffrei
Hypsugo pulveratus
Scotophilus kuhlii
Tylonycteris malayana
Pipistrellus paterculus
Scotophilus heathii
Pipistrellus tenuis
Tylonycteris fulvida
Scotomanes ornatus
Kerivoula depressa
Phoniscus jagorii
Murina feae
Harpiocephalus harpia
Murina cyclotis
Murina eleryi
Kerivoula furva
Kerivoula kachinensis
Kerivoula titania
Kerivoula picta
Kerivoula hardwickii
Myotis chinensis
Myotis hasseltii
Murina harrisoni
Murina hkakaboraziensis
Eudiscopus denticulus
Myotis horsfieldii
Murina jaintiana
Murina pluvialis
Murina huttoni
Manis javanica
Myotis siligorensis
Myotis mystacinus
Myotis muricola
Catopuma temminckii
Myotis montivagus
Manis pentadactyla
Pardofelis marmorata
Felis chaus
Panthera tigris
Prionodon linsang
Prionailurus viverrinus
Neofelis nebulosa
Panthera pardus
Prionailurus bengalensis
Arctictis binturong
Viverra megaspila
Paradoxurus musangus
Arctogalidia trivirgata
Prionodon pardicolor
Viverricula indica
Paguma larvata
Hemigalus derbyanus
Urva urva
Urva auropunctata
Viverra zibetha
Urva javanica
Canis lupus
Canis aureus
Cuon alpinus
Vulpes vulpes
Melogale moschata
Aonyx cinereus
Melogale personata
Ailurus fulgens
Ursus thibetanus
Helarctos malayanus
Lutrogale perspicillata
Martes flavigula
Lutra sumatrana
Martes foina
Arctonyx albogularis
Arctonyx collaris
Mustela kathiah
Lutra lutra
Mustela strigidorsa
Sus scrofa
Rhinoceros unicornis
Rhinoceros sondaicus
Dicerorhinus sumatrensis
Tapirus indicus
Mustela sibirica
Rucervus eldii
Axis porcinus
Moschus fuscus
Tragulus kanchil
Tragulus napu
Tragulus williamsoni
Rusa unicolor
Muntiacus feae
Muntiacus gongshanensis
Muntiacus vaginalis
Elaphodus cephalophus
Bos gaurus
Muntiacus putaoensis
Capricornis rubidus
Budorcas taxicolor
Bos javanicus
Bubalus arnee
Naemorhedus cranbrooki
Capricornis milneedwardsi
Megaptera novaeangliae
Balaenoptera physalus
Balaenoptera omurai
Balaenoptera edeni
Naemorhedus griseus
Balaenoptera musculus
Balaenoptera borealis
