species_key,scientific_name,canonical_scientific_name,common_name,order,family,genus,species_epithet,taxonomic_rank,marine,terrestrial,myanmar_distribution,global_distribution,conservation_status,myanmar_protection_status,identification_active,identification_level,taxonomy_notes,manual_review,source_dataset,source_url,source_year,current_mdd_scientific_name,mdd_match_status,taxonomy_enrichment_source
dremomys_rufigenis,Dremomys rufigenis,Dremomys rufigenis,Asian Red-cheeked Squirrel,Rodentia,Sciuridae,Dremomys,rufigenis,species,false,true,,,,,true,,,false,Mammals of Myanmar: an annotated checklist,https://www.gbif.org/dataset/0837bd43-fa3c-4a68-b257-81cb7c234e44,2024,Dremomys rufigenis,exact,ASM Mammal Diversity Database v2.5 (2026)
tamiops_swinhoei,Tamiops swinhoei,Tamiops swinhoei,Swinhoe's Striped Squirrel,Rodentia,Sciuridae,Tamiops,swinhoei,species,false,true,,,,,true,,,false,Mammals of Myanmar: an annotated checklist,https://www.gbif.org/dataset/0837bd43-fa3c-4a68-b257-81cb7c234e44,2024,Tamiops swinhoei,exact,ASM Mammal Diversity Database v2.5 (2026)
callosciurus_phayrei,Callosciurus phayrei,Callosciurus phayrei,Phayre's Squirrel,Rodentia,Sciuridae,Callosciurus,phayrei,species,false,true,,,,,true,,,false,Mammals of Myanmar: an annotated checklist,https://www.gbif.org/dataset/0837bd43-fa3c-4a68-b257-81cb7c234e44,2024,Callosciurus phayrei,exact,ASM Mammal Diversity Database v2.5 (2026)
dremomys_lokriah,Dremomys lokriah,Dremomys lokriah,Orange-bellied Himalayan Squirrel,Rodentia,Sciuridae,Dremomys,lokriah,species,false,true,,,,,true,,,false,Mammals of Myanmar: an annotated checklist,https://www.gbif.org/dataset/0837bd43-fa3c-4a68-b257-81cb7c234e44,2024,Dremomys lokriah,exact,ASM Mammal Diversity Database v2.5 (2026)
dremomys_pernyi,Dremomys pernyi,Dremomys pernyi,Perny's Long-nosed Squirrel,Rodentia,Sciuridae,Dremomys,pernyi,species,false,true,,,,,true,,,false,Mammals of Myanmar: an annotated checklist,https://www.gbif.org/dataset/0837bd43-fa3c-4a68-b257-81cb7c234e44,2024,Dremomys pernyi,exact,ASM Mammal Diversity Database v2.5 (2026)
tamiops_mcclellandii,Tamiops mcclellandii,Tamiops mcclellandii,Himalayan Striped Squirrel,Rodentia,Sciuridae,Tamiops,mcclellandii,species,false,true,,,,,true,,,false,Mammals of Myanmar: an annotated checklist,https://www.gbif.org/dataset/0837bd43-fa3c-4a68-b257-81cb7c234e44,2024,Tamiops mcclellandii,exact,ASM Mammal Diversity Database v2.5 (2026)
menetes_berdmorei,Menetes berdmorei,Menetes berdmorei,Indochinese Ground Squirrel,Rodentia,Sciuridae,Menetes,berdmorei,species,false,true,,,,,true,,,false,Mammals of Myanmar: an annotated checklist,https://www.gbif.org/dataset/0837bd43-fa3c-4a68-b257-81cb7c234e44,2024,Menetes berdmorei,exact,ASM Mammal Diversity Database v2.5 (2026)
callosciurus_quinquestriatus,Callosciurus quinquestriatus,Callosciurus quinquestriatus,Anderson's Squirrel,Rodentia,Sciuridae,Callosciurus,quinquestriatus,species,false,true,,,,,true,,,false,Mammals of Myanmar: an annotated checklist,https://www.gbif.org/dataset/0837bd43-fa3c-4a68-b257-81cb7c234e44,2024,Callosciurus quinquestriatus,exact,ASM Mammal Diversity Database v2.5 (2026)
callosciurus_pygerythrus,Callosciurus pygerythrus,Callosciurus pygerythrus,Irrawaddy Squirrel,Rodentia,Sciuridae,Callosciurus,pygerythrus,species,false,true,,,,,true,,,false,Mammals of Myanmar: an annotated checklist,https://www.gbif.org/dataset/0837bd43-fa3c-4a68-b257-81cb7c234e44,2024,Callosciurus pygerythrus,exact,ASM Mammal Diversity Database v2.5 (2026)
neodon_forresti,Neodon forresti,Neodon forresti,Forrest's Mountain Vole,Rodentia,Cricetidae,Neodon,forresti,species,false,true,,,,,true,,,false,Mammals of Myanmar: an annotated checklist,https://www.gbif.org/dataset/0837bd43-fa3c-4a68-b257-81cb7c234e44,2024,Neodon forresti,exact,ASM Mammal Diversity Database v2.5 (2026)
apodemus_peninsulae,Apodemus peninsulae,Apodemus peninsulae,Korean Field Mouse,Rodentia,Muridae,Apodemus,peninsulae,species,false,true,,,,,true,,,false,Mammals of Myanmar: an annotated checklist,https://www.gbif.org/dataset/0837bd43-fa3c-4a68-b257-81cb7c234e44,2024,Apodemus peninsulae,exact,ASM Mammal Diversity Database v2.5 (2026)
